,,,,,,,,,,,,,,,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL
,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0.01,,,100%,100%,90%,90%,80%,80%,70%,70%,60%,60%,50%,50%,40%,40%,30%,30%,20%,20%,10%,10%,5%,5%,1%,1%
"CFG,CWE,18_127","(0.0, 0.0)","(0.5012820541858674, 0.4916666716337204)","(0.5012820497155189, 0.55)","(0.4974359035491943, 0.4865384563803673)","(0.49935897886753083, 0.5423076957464218)","(0.4993589758872986, 0.5230769246816636)","(0.49871795177459716, 0.41089743822813035)","(0.49807692468166354, 0.47371795773506165)","(0.5006410300731658, 0.5647435873746872)","(0.502564100921154, 0.5487179517745971)","(0.5012820482254028, 0.5230769217014313)","(0.4999999970197678, 0.46666666865348816)",,,0.000 ,0.000 ,0.501 ,0.492 ,0.501 ,#VALUE!,0.497 ,0.487 ,0.499 ,0.542 ,0.499 ,0.523 ,0.499 ,0.411 ,0.498 ,0.474 ,0.501 ,0.565 ,0.503 ,0.549 ,0.501 ,0.523 ,0.500 ,0.467 
"CFG,CWE,18_134","(0.0, 0.0)","(0.5100000098347663, 0.5833333447575569)","(0.5033333450555801, 0.590000008046627)","(0.4933333367109299, 0.5333333417773247)","(0.4966666758060455, 0.4366666704416275)","(0.5033333420753479, 0.46333333998918536)","(0.4966666758060455, 0.49333334118127825)","(0.4966666743159294, 0.46000000834465027)","(0.5, 0.486666676402092)","(0.5066666781902314, 0.6100000068545341)","(0.5066666722297668, 0.4833333447575569)","(0.500000013411045, 0.6233333438634873)",,,0.000 ,0.000 ,0.510 ,0.583 ,0.503 ,0.590 ,0.493 ,0.533 ,0.497 ,0.437 ,0.503 ,0.463 ,0.497 ,0.493 ,0.497 ,0.460 ,0.500 ,0.487 ,0.507 ,0.610 ,0.507 ,0.483 ,0.500 ,0.623 
"CFG,CWE,18_190","(0.0, 0.0)","(0.5050000086426735, 0.38000000417232516)","(0.5100000128149986, 0.49000001400709153)","(0.5000000044703483, 0.5050000101327896)","(0.49000000953674316, 0.600000011920929)","(0.5100000113248825, 0.5100000098347663)","(0.5050000056624413, 0.5500000089406967)","(0.4850000098347664, 0.5400000080466271)","(0.5150000095367432, 0.6100000068545341)","(0.5050000116229058, 0.4550000116229057)","(0.4950000062584877, 0.5950000137090683)","(0.5050000086426735, 0.4950000077486038)",,,0.000 ,0.000 ,0.505 ,0.380 ,0.510 ,0.490 ,0.500 ,0.505 ,0.490 ,0.600 ,0.510 ,0.510 ,0.505 ,0.550 ,0.485 ,0.540 ,0.515 ,0.610 ,0.505 ,0.455 ,0.495 ,0.595 ,0.505 ,0.495 
"CFG,CWE,19_121","(0.5230769366025925, 0.5076923161745072)","(0.4846153885126114, 0.5076923221349716)","(0.4923077017068863, 0.4615384668111801)","(0.4923077017068863, 0.4846153914928436)","(0.5038461655378341, 0.5115384697914124)","(0.4923077031970024, 0.5153846263885498)","(0.46923077404499053, 0.5307692408561706)","(0.5076923161745072, 0.5384615421295166)","(0.5000000089406967, 0.44615385234355925)","(0.5000000089406967, 0.47692308723926546)","(0.4846153885126114, 0.4615384668111801)","(0.49230769872665403, 0.47692308127880095)",,,0.523 ,0.508 ,0.485 ,0.508 ,0.492 ,0.462 ,0.492 ,0.485 ,0.504 ,0.512 ,0.492 ,0.515 ,0.469 ,0.531 ,0.508 ,0.538 ,0.500 ,0.446 ,0.500 ,0.477 ,0.485 ,0.462 ,0.492 ,0.477 
"CFG,CWE,19_122","(0.5037037044763565, 0.5212962925434113)","(0.5074074119329453, 0.46203702986240386)","(0.5018518507480622, 0.5314814865589141)","(0.5129629671573639, 0.5370370358228683)","(0.5185185253620148, 0.5259259313344955)","(0.492592591047287, 0.5370370268821716)","(0.49629629254341123, 0.44444444477558137)","(0.4629629671573639, 0.4777777805924416)","(0.4925925999879837, 0.4925925925374031)","(0.48425926864147184, 0.4555555537343025)","(0.5268518567085266, 0.5620370447635651)","(0.48333333134651185, 0.5499999940395355)",,,0.504 ,0.521 ,0.507 ,0.462 ,0.502 ,0.531 ,0.513 ,0.537 ,0.519 ,0.526 ,0.493 ,0.537 ,0.496 ,0.444 ,0.463 ,0.478 ,0.493 ,0.493 ,0.484 ,0.456 ,0.527 ,0.562 ,0.483 ,0.550 
"CFG,CWE,19_124","(0.5444444477558136, 0.5055555671453476)","(0.42516340464353564, 0.5911764770746231)","(0.44738563150167465, 0.4947712570428848)","(0.557189553976059, 0.5294117748737335)","(0.44183007776737215, 0.551633995771408)","(0.4647058919072151, 0.4535947859287262)","(0.44084968119859697, 0.46045752465724943)","(0.4830065488815308, 0.5281045854091644)","(0.5529411971569062, 0.5127451121807098)","(0.5120915174484253, 0.5290849894285202)","(0.48954249620437623, 0.4558823645114899)","(0.49509805142879487, 0.4836601406335831)",,,0.544 ,0.506 ,0.425 ,0.591 ,0.447 ,0.495 ,0.557 ,0.529 ,0.442 ,0.552 ,0.465 ,0.454 ,0.441 ,0.460 ,0.483 ,0.528 ,0.553 ,0.513 ,0.512 ,0.529 ,0.490 ,0.456 ,0.495 ,0.484 
"CFG,CWE,19_126","(0.5088889002799988, 0.5022222310304642)","(0.6066666722297669, 0.5000000029802323)","(0.5233333438634873, 0.5033333420753479)","(0.521111124753952, 0.5088888943195343)","(0.45777778774499894, 0.53444444835186)","(0.48000000789761543, 0.43777778893709185)","(0.48555556386709214, 0.485555562376976)","(0.4966666705906391, 0.48000001162290573)","(0.5522222399711609, 0.5766666799783706)","(0.41444445326924323, 0.4722222313284874)","(0.44555556029081345, 0.5000000089406967)","(0.5000000089406967, 0.47777778208255767)",,,0.509 ,0.502 ,0.607 ,0.500 ,0.523 ,0.503 ,0.521 ,0.509 ,0.458 ,0.534 ,0.480 ,0.438 ,0.486 ,0.486 ,0.497 ,0.480 ,0.552 ,0.577 ,0.414 ,0.472 ,0.446 ,0.500 ,0.500 ,0.478 
"CFG,CWE,19_127","(0.5237179458141327, 0.4423076942563057)","(0.5211538508534431, 0.4916666716337204)","(0.517948716878891, 0.55)","(0.5076923161745072, 0.4865384563803673)","(0.5384615391492844, 0.5423076957464218)","(0.433333333581686, 0.5230769246816636)","(0.5724359005689621, 0.41089743822813035)","(0.5249999985098839, 0.47371795773506165)","(0.5339743614196777, 0.5647435873746872)","(0.5, 0.5487179517745971)","(0.5076923042535781, 0.5230769217014313)","(0.4166666716337204, 0.46666666865348816)",,,0.524 ,0.442 ,0.521 ,0.492 ,0.518 ,#VALUE!,0.508 ,0.487 ,0.538 ,0.542 ,0.433 ,0.523 ,0.572 ,0.411 ,0.525 ,0.474 ,0.534 ,0.565 ,0.500 ,0.549 ,0.508 ,0.523 ,0.417 ,0.467 
"CFG,CWE,19_134","(0.5200000077486038, 0.5400000035762786)","(0.5900000095367431, 0.47000000476837156)","(0.6266666740179062, 0.5866666689515114)","(0.6000000059604644, 0.48000000715255736)","(0.4833333447575569, 0.4233333423733711)","(0.5733333349227905, 0.6233333438634873)","(0.46000000536441804, 0.4833333417773247)","(0.623333340883255, 0.6066666737198829)","(0.5033333420753479, 0.40000000447034834)","(0.5866666734218597, 0.5700000017881394)","(0.5733333468437195, 0.5000000044703483)","(0.4233333423733711, 0.3900000095367432)",,,0.520 ,0.540 ,0.590 ,0.470 ,0.627 ,0.587 ,0.600 ,0.480 ,0.483 ,0.423 ,0.573 ,0.623 ,0.460 ,0.483 ,0.623 ,0.607 ,0.503 ,0.400 ,0.587 ,0.570 ,0.573 ,0.500 ,0.423 ,0.390 
"CFG,CWE,19_190","(0.5000000104308129, 0.5600000128149987)","(0.5000000074505806, 0.42000000923871994)","(0.590000008046627, 0.41500000953674315)","(0.46500000953674314, 0.5300000086426735)","(0.4800000086426735, 0.5750000134110451)","(0.5800000116229057, 0.6350000143051148)","(0.5400000110268592, 0.41000000983476637)","(0.360000005364418, 0.46500000953674314)","(0.46500000804662706, 0.4650000125169754)","(0.5350000128149986, 0.5100000068545342)","(0.5600000113248825, 0.5400000095367432)","(0.49000000953674316, 0.4550000071525574)",,,0.500 ,0.560 ,0.500 ,0.420 ,0.590 ,0.415 ,0.465 ,0.530 ,0.480 ,0.575 ,0.580 ,0.635 ,0.540 ,0.410 ,0.360 ,0.465 ,0.465 ,0.465 ,0.535 ,0.510 ,0.560 ,0.540 ,0.490 ,0.455 
"CFG,CWE,19_680","(0.563888892531395, 0.4527777791023254)","(0.42777778059244154, 0.522222226858139)","(0.5305555582046508, 0.5347222268581391)","(0.6208333373069763, 0.5986111164093018)","(0.4875000029802322, 0.42638889104127886)","(0.44722222685813906, 0.42777777910232545)","(0.5527777805924415, 0.5736111164093017)","(0.41527777910232544, 0.5111111164093017)","(0.5263888895511627, 0.48888889253139495)","(0.48888889253139495, 0.5263888895511627)","(0.5236111134290695, 0.5250000029802322)","(0.5708333373069763, 0.4875000029802322)",,,0.564 ,0.453 ,0.428 ,0.522 ,0.531 ,0.535 ,0.621 ,0.599 ,0.488 ,0.426 ,0.447 ,0.428 ,0.553 ,0.574 ,0.415 ,0.511 ,0.526 ,0.489 ,0.489 ,0.526 ,0.524 ,0.525 ,0.571 ,0.488 
"CFG,CWE,19_758","(0.5638095378875733, 0.5314285844564438)","(0.5200000107288361, 0.5066666781902314)","(0.5866666823625565, 0.5266666769981384)","(0.45857143998146055, 0.5000000119209289)","(0.5142857223749161, 0.47142857909202573)","(0.46619048416614534, 0.4528571546077728)","(0.46428572535514834, 0.486666676402092)","(0.5128571540117264, 0.46476191133260725)","(0.4585714370012283, 0.5319047719240189)","(0.4728571534156799, 0.4709523916244507)","(0.5261904865503311, 0.4652381047606468)","(0.49333334267139434, 0.45809524804353713)",,,0.564 ,0.531 ,0.520 ,0.507 ,0.587 ,0.527 ,0.459 ,0.500 ,0.514 ,0.471 ,0.466 ,0.453 ,0.464 ,0.487 ,0.513 ,0.465 ,0.459 ,0.532 ,0.473 ,0.471 ,0.526 ,0.465 ,0.493 ,0.458 
"CFG,CWE,19_761","(0.4189394026994705, 0.5431818246841431)","(0.5280303150415421, 0.4818181812763214)","(0.489393949508667, 0.4462121307849884)","(0.4636363685131073, 0.5719697028398514)","(0.5704545497894287, 0.5348484933376312)","(0.46515151858329773, 0.5090909153223038)","(0.4477272808551788, 0.5878788024187088)","(0.5272727340459824, 0.4833333432674408)","(0.5189393997192383, 0.5174242496490479)","(0.5340909063816071, 0.5000000059604645)","(0.4636363714933395, 0.5348484873771667)","(0.5007575809955597, 0.4651515245437622)",,,0.419 ,0.543 ,0.528 ,0.482 ,0.489 ,0.446 ,0.464 ,0.572 ,0.570 ,0.535 ,0.465 ,0.509 ,0.448 ,0.588 ,0.527 ,0.483 ,0.519 ,0.517 ,0.534 ,0.500 ,0.464 ,0.535 ,0.501 ,0.465 
"CFG,CWE,19_78","(0.5199316203594208, 0.5349931687116622)","(0.5327086269855499, 0.5037483010441065)","(0.501203840970993, 0.524404938519001)","(0.4906840056180954, 0.4503420054912567)","(0.4730095863342285, 0.5186730623245239)","(0.4987414687871933, 0.4188919372856617)","(0.4997811257839203, 0.48763339072465894)","(0.49303695261478425, 0.40088920332491396)","(0.48477429151535034, 0.5177565097808838)","(0.4929275125265121, 0.5001504868268967)","(0.4825034260749817, 0.4509028777480125)","(0.49870042204856874, 0.4449658110737801)",,,0.520 ,0.535 ,0.533 ,0.504 ,0.501 ,0.524 ,0.491 ,0.450 ,0.473 ,0.519 ,0.499 ,0.419 ,0.500 ,0.488 ,0.493 ,0.401 ,0.485 ,0.518 ,0.493 ,0.500 ,0.483 ,0.451 ,0.499 ,0.445 
"CFG,CWE,19_789","(0.5615384757518769, 0.47692309468984606)","(0.4846153974533081, 0.49230771213769914)","(0.46153847575187684, 0.5615384846925735)","(0.5000000178813935, 0.5153846308588982)","(0.4846153974533081, 0.5307692438364029)","(0.48461540043354034, 0.44615385830402376)","(0.5384615540504456, 0.5000000089406967)","(0.5307692497968673, 0.4307692386209965)","(0.49230770766735077, 0.5307692438364029)","(0.5000000163912773, 0.5076923221349716)","(0.5692307889461518, 0.5000000178813935)","(0.5461538702249527, 0.5230769395828248)",,,0.562 ,0.477 ,0.485 ,0.492 ,0.462 ,0.562 ,0.500 ,0.515 ,0.485 ,0.531 ,0.485 ,0.446 ,0.538 ,0.500 ,0.531 ,0.431 ,0.492 ,0.531 ,0.500 ,0.508 ,0.569 ,0.500 ,0.546 ,0.523 
"CFG,CWE,19_NEW_121","(0.5000000033527613, 0.4807692416012287)","(0.44230770170688627, 0.46538462191820146)","(0.4807692334055901, 0.5269230842590332)","(0.5000000104308129, 0.4923077017068863)","(0.4115384638309479, 0.4269230805337429)","(0.48846154026687144, 0.4307692363858223)","(0.46538461521267893, 0.38846154101192953)","(0.5653846174478531, 0.4538461595773697)","(0.5461538553237915, 0.4846153948456049)","(0.44230770096182825, 0.5000000089406967)","(0.44230770170688627, 0.5115384608507156)","(0.4538461595773697, 0.4269230835139751)",,,0.500 ,0.481 ,0.442 ,0.465 ,0.481 ,0.527 ,0.500 ,0.492 ,0.412 ,0.427 ,0.488 ,0.431 ,0.465 ,0.388 ,0.565 ,0.454 ,0.546 ,0.485 ,0.442 ,0.500 ,0.442 ,0.512 ,0.454 ,0.427 
"CFG,CWE,19_NEW_122","(0.4138888865709305, 0.5212962925434113)","(0.4759259205311537, 0.46203702986240386)","(0.49444444477558136, 0.5314814865589141)","(0.48703703880310056, 0.5370370358228683)","(0.4935185134410858, 0.5259259313344955)","(0.45740741714835165, 0.5370370268821716)","(0.4685185208916664, 0.44444444477558137)","(0.46018518358469007, 0.4777777805924416)","(0.4314814805984497, 0.4925925925374031)","(0.5333333313465118, 0.4555555537343025)","(0.5249999940395356, 0.5620370447635651)","(0.4796296298503876, 0.5499999940395355)",,,0.414 ,0.521 ,0.476 ,0.462 ,0.494 ,0.531 ,0.487 ,0.537 ,0.494 ,0.526 ,0.457 ,0.537 ,0.469 ,0.444 ,0.460 ,0.478 ,0.431 ,0.493 ,0.533 ,0.456 ,0.525 ,0.562 ,0.480 ,0.550 
"CFG,CWE,19_NEW_124","(0.5601307339966297, 0.40359477885067463)","(0.43496732860803605, 0.5578431501984596)","(0.5944444537162781, 0.5614379167556762)","(0.4950980573892593, 0.48562092557549474)","(0.5303921647369861, 0.5745098143815994)","(0.4401960879564285, 0.523529426753521)","(0.531045763194561, 0.5003268048167229)","(0.47385622262954713, 0.5104575261473656)","(0.3421568669378757, 0.5346405327320098)","(0.5281045839190484, 0.5137255027890205)","(0.5372549079358577, 0.4450980469584465)","(0.5065359622240067, 0.45098040290176866)",,,0.560 ,0.404 ,0.435 ,0.558 ,0.594 ,0.561 ,0.495 ,0.486 ,0.530 ,0.575 ,0.440 ,0.524 ,0.531 ,0.500 ,0.474 ,0.510 ,0.342 ,0.535 ,0.528 ,0.514 ,0.537 ,0.445 ,0.507 ,0.451 
"CFG,CWE,19_NEW_126","(0.4733333423733711, 0.5144444555044174)","(0.581111128628254, 0.4166666746139526)","(0.47666667550802233, 0.4288889020681381)","(0.40222222581505773, 0.3688889019191265)","(0.4411111190915108, 0.5722222223877906)","(0.5477777816355228, 0.42111111581325533)","(0.49000000655651094, 0.5311111196875572)","(0.5722222313284874, 0.5033333443105221)","(0.5500000029802322, 0.6233333438634873)","(0.5055555671453476, 0.5900000095367431)","(0.5466666758060456, 0.5111111126840114)","(0.4177777871489525, 0.5911111146211624)",,,0.473 ,0.514 ,0.581 ,0.417 ,0.477 ,0.429 ,0.402 ,0.369 ,0.441 ,0.572 ,0.548 ,0.421 ,0.490 ,0.531 ,0.572 ,0.503 ,0.550 ,0.623 ,0.506 ,0.590 ,0.547 ,0.511 ,0.418 ,0.591 
"CFG,CWE,19_NEW_127","(0.42628205344080927, 0.4750000059604645)","(0.5096153855323792, 0.637179484963417)","(0.5250000059604645, 0.42948717474937437)","(0.5403846219182015, 0.3506410241127014)","(0.469230767339468, 0.5262820556759834)","(0.5166666656732559, 0.6064102545380592)","(0.5756410256028175, 0.330769232660532)","(0.3711538463830948, 0.6307692378759384)","(0.530128201842308, 0.6134615436196327)","(0.3942307710647583, 0.5916666656732559)","(0.5615384668111801, 0.45320513248443606)","(0.4576923057436943, 0.38653846085071564)",,,0.426 ,0.475 ,0.510 ,0.637 ,0.525 ,0.429 ,0.540 ,0.351 ,0.469 ,0.526 ,0.517 ,0.606 ,0.576 ,0.331 ,0.371 ,0.631 ,0.530 ,0.613 ,0.394 ,0.592 ,0.562 ,0.453 ,0.458 ,0.387 
"CFG,CWE,19_NEW_134","(0.5866666689515114, 0.5400000035762786)","(0.6333333402872086, 0.47000000476837156)","(0.5633333399891853, 0.5866666689515114)","(0.4833333432674408, 0.48000000715255736)","(0.5533333420753479, 0.4233333423733711)","(0.5700000151991844, 0.6233333438634873)","(0.3733333393931389, 0.4833333417773247)","(0.38666667342185973, 0.6066666737198829)","(0.490000008046627, 0.40000000447034834)","(0.47000000774860384, 0.5700000017881394)","(0.5800000011920929, 0.5000000044703483)","(0.5533333390951156, 0.3900000095367432)",,,0.587 ,0.540 ,0.633 ,0.470 ,0.563 ,0.587 ,0.483 ,0.480 ,0.553 ,0.423 ,0.570 ,0.623 ,0.373 ,0.483 ,0.387 ,0.607 ,0.490 ,0.400 ,0.470 ,0.570 ,0.580 ,0.500 ,0.553 ,0.390 
"CFG,CWE,19_NEW_190","(0.4650000065565109, 0.5250000089406968)","(0.575000011920929, 0.4600000068545341)","(0.6050000056624413, 0.3250000044703484)","(0.4550000071525574, 0.47000000774860384)","(0.4550000071525574, 0.6300000086426735)","(0.4550000071525574, 0.7100000083446503)","(0.6400000095367432, 0.38000000566244124)","(0.4750000089406967, 0.6850000083446502)","(0.46500000804662706, 0.3950000062584877)","(0.5500000104308128, 0.48500000685453415)","(0.6300000086426735, 0.47000001072883607)","(0.42000000923871994, 0.435000005364418)",,,0.465 ,0.525 ,0.575 ,0.460 ,0.605 ,0.325 ,0.455 ,0.470 ,0.455 ,0.630 ,0.455 ,0.710 ,0.640 ,0.380 ,0.475 ,0.685 ,0.465 ,0.395 ,0.550 ,0.485 ,0.630 ,0.470 ,0.420 ,0.435 
"CFG,CWE,19_NEW_680","(0.4375000029802322, 0.49166666716337204)","(0.5500000029802322, 0.547222226858139)","(0.45000000298023224, 0.5736111119389534)","(0.3708333343267441, 0.4527777791023254)","(0.47638889104127885, 0.6097222238779068)","(0.44444444477558137, 0.44583333730697633)","(0.48472222685813904, 0.409722226858139)","(0.34583333432674407, 0.47916666865348817)","(0.5208333373069763, 0.37916666716337205)","(0.5125000014901161, 0.48888889253139495)","(0.4875000029802322, 0.547222226858139)","(0.5375000029802323, 0.4861111119389534)",,,0.438 ,0.492 ,0.550 ,0.547 ,0.450 ,0.574 ,0.371 ,0.453 ,0.476 ,0.610 ,0.444 ,0.446 ,0.485 ,0.410 ,0.346 ,0.479 ,0.521 ,0.379 ,0.513 ,0.489 ,0.488 ,0.547 ,0.538 ,0.486 
"CFG,CWE,19_NEW_758","(0.4947619177401066, 0.43380953222513197)","(0.46333333998918536, 0.5538095355033874)","(0.47095239236950875, 0.35190477073192594)","(0.46476191729307176, 0.5404762029647827)","(0.39238096699118613, 0.5752381056547164)","(0.4166666820645332, 0.5080952525138855)","(0.3771428644657135, 0.4328571528196335)","(0.5566666722297668, 0.5009523957967759)","(0.5904761984944343, 0.5600000083446502)","(0.44666667804121973, 0.539047634601593)","(0.5157142966985703, 0.5547619134187698)","(0.5552381031215191, 0.4928571552038193)",,,0.495 ,0.434 ,0.463 ,0.554 ,0.471 ,0.352 ,0.465 ,0.540 ,0.392 ,0.575 ,0.417 ,0.508 ,0.377 ,0.433 ,0.557 ,0.501 ,0.590 ,0.560 ,0.447 ,0.539 ,0.516 ,0.555 ,0.555 ,0.493 
"CFG,CWE,19_NEW_761","(0.6166666746139526, 0.6037878781557083)","(0.6015151605010033, 0.5037878923118114)","(0.5462121278047561, 0.4712121307849884)","(0.5143939435482026, 0.4250000067055225)","(0.40000000298023225, 0.6212121292948722)","(0.49166667759418486, 0.5522727340459823)","(0.546212124824524, 0.38257576525211334)","(0.43712121844291685, 0.48939394652843476)","(0.6424242466688156, 0.6166666716337204)","(0.4719696998596191, 0.45833334177732465)","(0.5098484933376313, 0.5371212214231491)","(0.5166666686534882, 0.46212121844291687)",,,0.617 ,0.604 ,0.602 ,0.504 ,0.546 ,0.471 ,0.514 ,0.425 ,0.400 ,0.621 ,0.492 ,0.552 ,0.546 ,0.383 ,0.437 ,0.489 ,0.642 ,0.617 ,0.472 ,0.458 ,0.510 ,0.537 ,0.517 ,0.462 
"CFG,CWE,19_NEW_78","(0.5582489848136902, 0.5349931687116622)","(0.39077975749969485, 0.5037483010441065)","(0.48233927637338636, 0.524404938519001)","(0.5955677255988121, 0.4503420054912567)","(0.5917510330677033, 0.5186730623245239)","(0.4953351654112339, 0.4188919372856617)","(0.5500410556793213, 0.48763339072465894)","(0.4925855094566941, 0.40088920332491396)","(0.42649795562028886, 0.5177565097808838)","(0.4718878358602524, 0.5001504868268967)","(0.5081121891736984, 0.4509028777480125)","(0.5454582907259464, 0.4449658110737801)",,,0.558 ,0.535 ,0.391 ,0.504 ,0.482 ,0.524 ,0.596 ,0.450 ,0.592 ,0.519 ,0.495 ,0.419 ,0.550 ,0.488 ,0.493 ,0.401 ,0.426 ,0.518 ,0.472 ,0.500 ,0.508 ,0.451 ,0.545 ,0.445 
"CFG,CWE,19_NEW_789","(0.5307692408561706, 0.41538462191820147)","(0.47692308872938155, 0.4384615533053875)","(0.4846154019236565, 0.4846153914928436)","(0.5076923221349716, 0.5230769351124763)","(0.40769231766462327, 0.4615384705364704)","(0.5307692438364029, 0.4461538538336754)","(0.5923077031970024, 0.4923077017068863)","(0.4153846301138401, 0.5692307814955712)","(0.6076923221349716, 0.4846153996884823)","(0.6384615570306778, 0.40769231915473936)","(0.5076923221349716, 0.5461538583040237)","(0.39230770245194435, 0.4769230902194977)",,,0.531 ,0.415 ,0.477 ,0.438 ,0.485 ,0.485 ,0.508 ,0.523 ,0.408 ,0.462 ,0.531 ,0.446 ,0.592 ,0.492 ,0.415 ,0.569 ,0.608 ,0.485 ,0.638 ,0.408 ,0.508 ,0.546 ,0.392 ,0.477 
"CFG,CWE,21_127","(0.0, 0.0)","(0.5019230723381043, 0.5057692311704158)","(0.5570512890815735, 0.5314102590084075)","(0.5576923131942749, 0.5083333402872086)","(0.4589743599295616, 0.4352564141154289)","(0.5166666686534882, 0.5243589758872986)","(0.4499999970197678, 0.5474359035491944)","(0.5006410241127014, 0.4910256385803223)","(0.4442307710647583, 0.5147435903549195)","(0.41858974397182463, 0.4487179532647133)","(0.4846153825521469, 0.5506410241127014)","(0.5333333283662796, 0.5070512861013412)",,,0.000 ,0.000 ,0.502 ,0.506 ,0.557 ,0.531 ,0.558 ,0.508 ,0.459 ,0.435 ,0.517 ,0.524 ,0.450 ,0.547 ,0.501 ,0.491 ,0.444 ,0.515 ,0.419 ,0.449 ,0.485 ,0.551 ,0.533 ,0.507 
"CFG,CWE,21_190","(0.0, 0.0)","(0.6250000149011612, 0.42000000923871994)","(0.4850000098347664, 0.41500000953674315)","(0.5300000086426735, 0.5300000086426735)","(0.5450000092387199, 0.5750000134110451)","(0.5600000083446502, 0.6350000143051148)","(0.4550000086426735, 0.41000000983476637)","(0.46500000953674314, 0.46500000953674314)","(0.4450000062584877, 0.4650000125169754)","(0.6500000134110451, 0.5100000068545342)","(0.5800000101327896, 0.5400000095367432)","(0.5400000050663948, 0.4550000071525574)",,,0.000 ,0.000 ,0.625 ,0.420 ,0.485 ,0.415 ,0.530 ,0.530 ,0.545 ,0.575 ,0.560 ,0.635 ,0.455 ,0.410 ,0.465 ,0.465 ,0.445 ,0.465 ,0.650 ,0.510 ,0.580 ,0.540 ,0.540 ,0.455 
"CFG,CWE,22_121","(0.5000000089406967, 0.5076923161745072)","(0.5000000059604645, 0.5076923221349716)","(0.5000000119209289, 0.4615384668111801)","(0.5000000029802323, 0.4846153914928436)","(0.5000000089406967, 0.5115384697914124)","(0.5000000059604645, 0.5153846263885498)","(0.5000000059604645, 0.5307692408561706)","(0.5000000089406967, 0.5384615421295166)","(0.5000000089406967, 0.44615385234355925)","(0.5000000149011612, 0.47692308723926546)","(0.5000000119209289, 0.4615384668111801)","(0.5000000089406967, 0.47692308127880095)",,,0.500 ,0.508 ,0.500 ,0.508 ,0.500 ,0.462 ,0.500 ,0.485 ,0.500 ,0.512 ,0.500 ,0.515 ,0.500 ,0.531 ,0.500 ,0.538 ,0.500 ,0.446 ,0.500 ,0.477 ,0.500 ,0.462 ,0.500 ,0.477 
"CFG,CWE,22_122","(0.49999999403953554, 0.5212962925434113)","(0.4999999970197678, 0.46203702986240386)","(0.4999999970197678, 0.5314814865589141)","(0.5000000029802323, 0.5370370358228683)","(0.5, 0.5259259313344955)","(0.49999999403953554, 0.5370370268821716)","(0.5, 0.44444444477558137)","(0.5000000029802323, 0.4777777805924416)","(0.5000000059604645, 0.4925925925374031)","(0.5, 0.4555555537343025)","(0.5000000059604645, 0.5620370447635651)","(0.5000000059604645, 0.5499999940395355)",,,0.500 ,0.521 ,0.500 ,0.462 ,0.500 ,0.531 ,0.500 ,0.537 ,0.500 ,0.526 ,0.500 ,0.537 ,0.500 ,0.444 ,0.500 ,0.478 ,0.500 ,0.493 ,0.500 ,0.456 ,0.500 ,0.562 ,0.500 ,0.550 
"CFG,CWE,22_124","(0.5000000149011612, 0.5055555671453476)","(0.5000000119209289, 0.5911764770746231)","(0.5006536066532135, 0.4947712570428848)","(0.4996732145547867, 0.5294117748737335)","(0.5000000089406967, 0.551633995771408)","(0.4993464156985283, 0.4535947859287262)","(0.5006536096334457, 0.46045752465724943)","(0.4990196168422699, 0.5281045854091644)","(0.49901961982250215, 0.5127451121807098)","(0.4990196168422699, 0.5290849894285202)","(0.49934642016887665, 0.4558823645114899)","(0.5013072073459626, 0.4836601406335831)",,,0.500 ,0.506 ,0.500 ,0.591 ,0.501 ,0.495 ,0.500 ,0.529 ,0.500 ,0.552 ,0.499 ,0.454 ,0.501 ,0.460 ,0.499 ,0.528 ,0.499 ,0.513 ,0.499 ,0.529 ,0.499 ,0.456 ,0.501 ,0.484 
"CFG,CWE,22_126","(0.5033333480358124, 0.5022222310304642)","(0.5022222310304642, 0.5000000029802323)","(0.49333333447575567, 0.5033333420753479)","(0.49555556029081343, 0.5088888943195343)","(0.5000000119209289, 0.53444444835186)","(0.5033333420753479, 0.43777778893709185)","(0.498888897895813, 0.485555562376976)","(0.500000013411045, 0.48000001162290573)","(0.4988889038562775, 0.5766666799783706)","(0.49777778461575506, 0.4722222313284874)","(0.49777778387069704, 0.5000000089406967)","(0.4966666787862778, 0.47777778208255767)",,,0.503 ,0.502 ,0.502 ,0.500 ,0.493 ,0.503 ,0.496 ,0.509 ,0.500 ,0.534 ,0.503 ,0.438 ,0.499 ,0.486 ,0.500 ,0.480 ,0.499 ,0.577 ,0.498 ,0.472 ,0.498 ,0.500 ,0.497 ,0.478 
